"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"0","Diabetes Dx","36715051","720519003","Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome","Disorder","Condition","SNOMED"
"0","Diabetes Dx","36713275","530558861000132104","Atypical diabetes mellitus","Disorder","Condition","SNOMED"
"0","Diabetes Dx","44831148","362.01","Background diabetic retinopathy","5-dig billing code","Condition","ICD9CM"
"0","Diabetes Dx","376979","43959009","Cataract due to diabetes mellitus","Disorder","Condition","SNOMED"
"0","Diabetes Dx","36715417","721088003","DEND syndrome","Disorder","Condition","SNOMED"
"0","Diabetes Dx","201820","73211009","Diabetes mellitus","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4143529","426705001","Diabetes mellitus associated with cystic fibrosis","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4245270","5969009","Diabetes mellitus associated with genetic syndrome","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4240589","59079001","Diabetes mellitus associated with hormonal etiology","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4178452","51002006","Diabetes mellitus associated with pancreatic disease","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4178790","42954008","Diabetes mellitus associated with receptor abnormality","Disorder","Condition","SNOMED"
"0","Diabetes Dx","42537681","737212004","Diabetes mellitus caused by chemical","Disorder","Condition","SNOMED"
"0","Diabetes Dx","765478","367391000119102","Diabetes mellitus caused by drug without complication","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4192852","75682002","Diabetes mellitus caused by insulin receptor antibodies","Disorder","Condition","SNOMED"
"0","Diabetes Dx","3178281","2350001000004101","Diabetes mellitus complicating Cystic fibrosis","Clinical Finding","Condition","Nebraska Lexicon"
"0","Diabetes Dx","4144583","427089005","Diabetes mellitus due to cystic fibrosis","Disorder","Condition","SNOMED"
"0","Diabetes Dx","43531011","609568004","Diabetes mellitus due to genetic defect in beta cell function","Disorder","Condition","SNOMED"
"0","Diabetes Dx","43531642","609569007","Diabetes mellitus due to genetic defect in insulin action","Disorder","Condition","SNOMED"
"0","Diabetes Dx","45757077","105401000119101","Diabetes mellitus due to pancreatic injury","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4237068","91352004","Diabetes mellitus due to structurally abnormal insulin","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4058243","199223000","Diabetes mellitus during pregnancy, childbirth and the puerperium","Disorder","Condition","SNOMED"
"0","Diabetes Dx","4235410","408540003","Diabetes mellitus induced by non-steroid drugs","Disorder","Condition","SNOMED"
"0","Diabetes Dx","45757129","10754881000119104","Diabetes mellitus in mother complicating childbirth","Disorder","Condition","SNOMED"
"0","Diabetes Dx","194700","76751001","Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium","Disorder","Condition","SNOMED"
"0","Diabetes Dx","45766050","703136005","Diabetes mellitus in remission","Disorder","Condition","SNOMED"
